gas,brake,steer_angle,speed_kmh,g_lat,g_lon,world_x,world_z,norm_pos,lap_time_ms,completed_laps,timestamp_ms
1.0,0.0,0.0018999999156221747,300.0535888671875,-0.005853932350873947,0.1784210503101349,224.80029296875,325.02276611328125,0.0020124034490436316,90,13,1779383943684
1.0,0.0,0.001999999862164259,300.1455078125,-0.006119623780250549,0.17641854286193848,223.11927795410156,325.5115051269531,0.0024231048300862312,111,13,1779383943701
1.0,0.0,-9.999999747378752e-05,300.2552795410156,-0.004679125268012285,0.1658647358417511,221.91810607910156,325.86065673828125,0.002713819732889533,126,13,1779383943718
1.0,0.0,-0.0005999999702908099,300.35797119140625,-0.0017432905733585358,0.15498147904872894,220.47621154785156,326.2796936035156,0.0030645974911749363,144,13,1779383943735
1.0,0.0,-0.001500000013038516,300.4333190917969,0.005159360822290182,0.1334504336118698,219.03387451171875,326.6988220214844,0.0034162753727287054,162,13,1779383943752
1.0,0.0,-0.00279999990016222,300.50872802734375,0.040704406797885895,0.1144019216299057,218.07211303710938,326.9783630371094,0.0036488333716988564,174,13,1779383943769
1.0,0.0,-0.0026000000070780516,300.5935363769531,0.01916554383933544,0.1504679173231125,216.14810180664062,327.5377502441406,0.004118223208934069,198,13,1779383943786
1.0,0.0,-0.0024999999441206455,300.680419921875,0.029418043792247772,0.17559589445590973,215.18580627441406,327.817626953125,0.004351859446614981,210,13,1779383943803
1.0,0.0,-0.0016999999061226845,300.7928466796875,0.04149642959237099,0.1741691678762436,213.741943359375,328.2376708984375,0.004702347796410322,228,13,1779383943820
1.0,0.0,-0.00029999998514540493,300.89801025390625,0.029368069022893906,0.16278216242790222,212.297607421875,328.6579895019531,0.005054582376033068,246,13,1779383943837
1.0,0.0,0.00039999998989515007,300.97747802734375,0.0340554304420948,0.14759118854999542,211.09364318847656,329.0084533691406,0.005346669349819422,261,13,1779383943854
1.0,0.0,0.0005999999702908099,301.07232666015625,0.0252674613147974,0.14430482685565948,209.40757751464844,329.4992980957031,0.005756803788244724,282,13,1779383943871
1.0,0.0,0.0009999999310821295,301.1654052734375,0.028798062354326248,0.15218819677829742,208.44386291503906,329.7799072265625,0.0059906840324401855,294,13,1779383943888
1.0,0.0,0.0017999999690800905,301.25299072265625,-0.02065284550189972,0.17160066962242126,207.2389373779297,330.1308288574219,0.00628376891836524,309,13,1779383943905
1.0,0.0,-0.00019999999494757503,301.3465576171875,0.026113172993063927,0.13366658985614777,205.3103485107422,330.6923828125,0.0067524416372179985,333,13,1779383943922
1.0,0.0,-0.001999999862164259,301.42596435546875,0.06461108475923538,0.12960384786128998,204.10464477539062,331.04351806640625,0.007046693004667759,348,13,1779383943939
1.0,0.0,-0.0032999999821186066,301.5010681152344,0.03734401986002922,0.15049923956394196,202.657470703125,331.4651184082031,0.007395850494503975,366,13,1779383943956
1.0,0.0,-0.0037999998312443495,301.59619140625,0.00521592004224658,0.14422565698623657,201.45115661621094,331.8166198730469,0.007690208964049816,381,13,1779383943973
1.0,0.0,-0.003700000001117587,301.6864013671875,0.03813304007053375,0.14516276121139526,199.76182556152344,332.30889892578125,0.008151575922966003,402,13,1779383943990
1.0,0.0,-0.0030999998562037945,301.75762939453125,0.05981779843568802,0.12554185092449188,198.55484008789062,332.6607360839844,0.008240912109613419,417,13,1779383944007
1.0,0.0,-0.0024999999441206455,301.84014892578125,0.049762699753046036,0.1397123783826828,197.34762573242188,333.0127868652344,0.008699619211256504,432,13,1779383944024
1.0,0.0,-0.0013000000035390258,301.928955078125,0.0685911774635315,0.14278455078601837,195.89862060546875,333.43548583984375,0.009290514513850212,450,13,1779383944041
1.0,0.0,-0.000699999975040555,302.0226745605469,0.06090010702610016,0.1503569483757019,194.69082641601562,333.7879638671875,0.00931317824870348,465,13,1779383944058
1.0,0.0,-0.0004999999655410647,302.1011657714844,0.029666120186448097,0.14476744830608368,192.99945068359375,334.28173828125,0.009744501672685146,486,13,1779383944075
1.0,0.0,-0.00019999999494757503,302.1864929199219,0.04936915263533592,0.12894737720489502,191.54928588867188,334.7052307128906,0.010098119266331196,504,13,1779383944092
1.0,0.0,-0.00029999998514540493,302.2640686035156,0.04016762971878052,0.12269377708435059,190.5823211669922,334.9877014160156,0.010331795550882816,516,13,1779383944109
1.0,0.0,-0.0011999999405816197,302.3332214355469,0.038267895579338074,0.13401980698108673,188.88975524902344,335.48223876953125,0.010744077153503895,537,13,1779383944126
1.0,0.0,-0.00139999995008111,302.4139404296875,0.08967483043670654,0.11991022527217865,187.68051147460938,335.8357238769531,0.011038155294954777,552,13,1779383944143
1.0,0.0,-0.0018999999156221747,302.50091552734375,0.08525557070970535,0.1494908630847931,186.22911071777344,336.2602233886719,0.01139017753303051,570,13,1779383944160
1.0,0.0,-0.002699999837204814,302.5750732421875,0.0719008594751358,0.12807486951351166,184.77734375,336.6850280761719,0.011743618175387383,588,13,1779383944177
1.0,0.0,-0.003000000026077032,302.65240478515625,0.08619726449251175,0.11379385739564896,183.56729125976562,337.0392761230469,0.01203707605600357,603,13,1779383944194
1.0,0.0,-0.0030999998562037945,302.7267761230469,0.09426388144493103,0.1348607987165451,182.11500549316406,337.4647216796875,0.012389867566525936,621,13,1779383944211
1.0,0.0,-0.0038999998942017555,302.8029479980469,0.08800058811903,0.1371840387582779,180.90451049804688,337.81951904296875,0.012685460038483143,636,13,1779383944228
1.0,0.0,-0.003399999812245369,302.886962890625,0.09357983618974686,0.1282254010438919,179.45162963867188,338.2455749511719,0.013039006851613522,654,13,1779383944245
1.0,0.0,-0.003700000001117587,302.9653015136719,0.09542307257652283,0.12074604630470276,178.24066162109375,338.6009216308594,0.013333231210708618,669,13,1779383944263
1.0,0.0,-0.0038999998942017555,303.02471923828125,0.12807105481624603,0.10795316845178604,176.5449981689453,339.0988464355469,0.013746151700615883,690,13,1779383944280
1.0,0.0,-0.003599999938160181,303.0971984863281,0.1191394180059433,0.12099846452474594,175.09133911132812,339.5261535644531,0.014098701998591423,708,13,1779383944297
1.0,0.0,-0.0030999998562037945,303.1766357421875,0.1200086921453476,0.1260726898908615,173.87974548339844,339.88262939453125,0.014393310062587261,723,13,1779383944314
1.0,0.0,-0.0030999998562037945,303.2420654296875,0.10781422257423401,0.11673370003700256,172.42555236816406,340.3108215332031,0.014746226370334625,741,13,1779383944331
1.0,0.0,-0.002899999963119626,303.3131103515625,0.13815514743328094,0.11492204666137695,171.2135467529297,340.66796875,0.015040865167975426,756,13,1779383944348
1.0,0.0,-0.002699999837204814,303.38812255859375,0.10781585425138474,0.16624009609222412,170.0013885498047,341.0254821777344,0.015336567535996437,771,13,1779383944365
1.0,0.0,-0.002699999837204814,303.4641418457031,0.09043150395154953,0.13218115270137787,168.54652404785156,341.4549560546875,0.015690218657255173,789,13,1779383944382
1.0,0.0,-0.0024999999441206455,303.5420837402344,0.11483590304851532,0.11695539951324463,167.09133911132812,341.884765625,0.016044234856963158,807,13,1779383944399
1.0,0.0,-0.0018999999156221747,303.6158447265625,0.14081215858459473,0.12142548710107803,165.8784942626953,342.2433166503906,0.016339613124728203,822,13,1779383944416
1.0,0.0,-0.0011999999405816197,303.68157958984375,0.060112401843070984,0.1280723512172699,164.42286682128906,342.6739807128906,0.016693301498889923,840,13,1779383944433
1.0,0.0,-0.0011999999405816197,303.7493896484375,0.10096089541912079,0.08613540232181549,163.20960998535156,343.0331115722656,0.016988692805171013,855,13,1779383944450
1.0,0.0,-0.00139999995008111,303.8052673339844,0.13232235610485077,0.11004573851823807,161.51083374023438,343.53631591796875,0.01746250130236149,879,13,1779383944467
1.0,0.0,-0.002199999988079071,303.8734436035156,0.07666025310754776,0.12746216356754303,160.05450439453125,343.9681091308594,0.017756503075361252,894,13,1779383944484
1.0,0.0,-0.002699999837204814,303.9502868652344,0.10407380759716034,0.11973285675048828,158.84068298339844,344.32818603515625,0.018052585422992706,909,13,1779383944501
1.0,0.0,-0.0026000000070780516,304.0267028808594,0.10060511529445648,0.11864370107650757,157.38385009765625,344.7606201171875,0.018406270071864128,927,13,1779383944518
1.0,0.0,-0.0030999998562037945,304.0879211425781,0.10567762702703476,0.1118120402097702,155.92678833007812,345.19342041015625,0.018761342391371727,945,13,1779383944535
1.0,0.0,-0.0031999999191612005,304.1540222167969,0.12424089014530182,0.09993549436330795,154.46951293945312,345.6266174316406,0.01911604031920433,963,13,1779383944552
1.0,0.0,-0.0026000000070780516,304.21929931640625,0.05802080035209656,0.10064452886581421,153.25497436523438,345.9878845214844,0.019412072375416756,978,13,1779383944569
1.0,0.0,-0.0024999999441206455,304.2686462402344,0.13223709166049957,0.09140060842037201,151.79733276367188,346.42169189453125,0.019765686243772507,996,13,1779383944586
1.0,0.0,-0.0018999999156221747,304.33111572265625,0.09511193633079529,0.11342597752809525,150.33953857421875,346.8559875488281,0.020122069865465164,1014,13,1779383944603
1.0,0.0,-0.0013000000035390258,304.4110412597656,0.05118167772889137,0.1060345396399498,149.12448120117188,347.2181396484375,0.02041768655180931,1029,13,1779383944620
